7zip 26.00-1.1
a52dec 0.8.0-3.1
aalib 1.4rc5-19.1
aardvark-dns 1.17.0-1.1
abseil-cpp 20260107.1-1.1
accountsservice 26.12.8-1.1
acl 2.3.2-1.1
ada 3.4.4-1.1
adw-gtk-theme 6.4-1
adwaita-colors-icon-theme 2.5-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.2-1.1
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.3-2.1
alsa-plugins 1:1.2.12-5.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2.1
amd-ucode 1:20260309-1
amdgpu_top 0.11.3-1.1
amdsmi 7.2.1-1.1
ananicy-cpp 1.2.0-1.1
aom 3.13.3-1.1
apache 2.4.66-2.2
appstream 1.1.2-1.1
apr 1.7.6-1
apr-util 1.6.3-2.1
aquamarine 0.10.0-4.1
archlinux-appstream-data 20260326-1
archlinux-keyring 20260323-2
archlinux-xdg-menu 0.7.7-1
at-spi2-core 2.60.0-1.1
atkmm 2.28.4-2.1
attr 2.5.2-1.1
audit 4.1.4-2.1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1.1
awesome-terminal-fonts 1.1.0-5
ayatana-ido 0.10.4-1.1
baobab 50.0-1.1
base 3-3
base-devel 1-2
bash 5.3.9-2
bash-completion 2.17.0-3
bcc 0.36.1-3.1
bind 9.20.22-1.1
binutils 2.46-2
bison 3.8.2-8.1
bluez 5.86-4.1
bluez-hid2hci 5.86-4.1
bluez-libs 5.86-4.1
bluez-obex 5.86-4.1
bluez-utils 5.86-4.1
bolt 0.9.11-1.1
bpf 6.19.11-1
brave-bin 1:1.88.138-1
brightnessctl 0.5.1-3
brotli 1.2.0-1.1
btop 1.4.6-2.1
btrfs-progs 6.19.1-1
bubblewrap 0.11.1-1.1
bzip2 1.0.8-6.1
c-ares 1.34.6-1.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.122-1.1
ca-certificates-utils 20240618-1
cachyos-ananicy-rules 1:1.1.33-1
cachyos-hello 0.22.2-1.1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.17.0-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 22-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 21-1
cachyos-settings 1:1.3.4-1
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cairo 1.18.4-1.1
cairomm 1.14.5-3.1
cairomm-1.16 1.18.0-2.1
cantarell-fonts 1:0.311-1
catatonit 0.2.1-2.1
cdparanoia 10.2-9.1
chromaprint 1.6.0-3.1
chwd 1.20.1-2
cifs-utils 7.5-1.1
